DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in placebo-treated cardiovascular disease (time to event)	1,440 European, African American, Asian and other ancestry cases	NA	3p14.2	3	60942161	FHIT	FHIT			ENSG00000189283			rs138741635-A	rs138741635	0	138741635	intron_variant	0	0.019	3E-8	7.522878745280337		2.02	[1.59-2.56]	Affymetrix, Illumina [9334585] (imputed)	N	acute coronary syndrome, coronary heart disease, cardiovascular event measurement, response to placebo	http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919, http://www.ebi.ac.uk/efo/EFO_0008344	GCST004961	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in placebo-treated cardiovascular disease (time to event)	1,440 European, African American, Asian and other ancestry cases	NA	14q24.3	14	73609035	ACOT6	AC005225.2			ENSG00000258603			rs147204125-G	rs147204125	0	147204125	intron_variant	0	0.008	2E-8	7.698970004336019		2.86	[1.96-4.17]	Affymetrix, Illumina [9334585] (imputed)	N	acute coronary syndrome, coronary heart disease, cardiovascular event measurement, response to placebo	http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919, http://www.ebi.ac.uk/efo/EFO_0008344	GCST004961	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Diarrhoea in darapladib-treated cardiovascular disease (time to event)	481 European ancestry cases	NA	6q22.32	6	126276990	intergenic	PPP1R14BP5 - AL356534.1	ENSG00000213133	ENSG00000286215		18635	27233	rs149232047-G	rs149232047	0	149232047	intergenic_variant	1	0.0075	5E-9	8.301029995663981		4.9	[2.86-8.33]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004962	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Diarrhoea in darapladib-treated cardiovascular disease (time to event)	481 European ancestry cases	NA	Xq26.1	X	129601222	intergenic	OCRL - APLN	ENSG00000122126	ENSG00000171388		8661	44037	rs16999497-C	rs16999497	0	16999497	regulatory_region_variant	1	0.0385	6E-9	8.221848749616356		4.08	[2.56-6.67]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004962	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Diarrhoea in darapladib-treated cardiovascular disease (time to event)	481 European ancestry cases	NA	16q23.1	16	75549741	RP11-77K12.8, TMEM231	AC025287.1, TMEM231			ENSG00000259992, ENSG00000205084			rs151269874-T	rs151269874	0	151269874	intron_variant	0	0.0111	2E-9	8.698970004336019		4.18	[2.63-6.67]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004962	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in darapladib-treated cardiovascular disease (time to event)	1,318 European, African American, Asian and other ancestry cases	NA	4q28.1	4	124644124	intergenic	LINC02516 - ANKRD50	ENSG00000261083	ENSG00000151458		85679	19924	rs192427471-T	rs192427471	0	192427471	intergenic_variant	1	0.024	6E-9	8.221848749616356		2.04	[1.61-2.56]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004957	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Major coronary event in darapladib-treated cardiovascular disease (time to event)	1,318 European, African American, Asian and other ancestry cases	NA	11p14.3	11	26141193	intergenic	AC024341.1 - ANO3	ENSG00000255086	ENSG00000134343		93595	47649	rs12290663-A	rs12290663	0	12290663	intergenic_variant	1	0.013	3E-8	7.522878745280337		2.11	[1.61-2.78]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, acute coronary syndrome, coronary heart disease, cardiovascular event measurement	http://www.ebi.ac.uk/efo/EFO_0008395, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645, http://www.ebi.ac.uk/efo/EFO_0006919	GCST004957	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	3p25.1	3	15633655	BTD	BTD			ENSG00000169814			rs11915606-G	rs11915606	0	11915606	intron_variant	0	0.0071	4E-8	7.3979400086720375		7.23	[3.58-14.62]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	4p12	4	47371654	GABRB1	GABRB1			ENSG00000163288			rs148121703-C	rs148121703	0	148121703	intron_variant	0	0.0116	3E-8	7.522878745280337		14.93	[5.75-38.76]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
2017-11-20	28753643	Yeo A	2017-07-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28753643	Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib.	Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	212 European ancestry cases	NA	5q23.1	5	117697919	intergenic	LINC00992 - AC114322.1	ENSG00000248663	ENSG00000251477		151621	21321	rs201394051-AAT	rs201394051	0	201394051	intergenic_variant	1	0.0442	2E-8	7.698970004336019		2.72	[1.91-3.86]	Affymetrix, Illumina [9334585] (imputed)	N	response to darapladib, Diarrhea, acute coronary syndrome, coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0008395, http://purl.obolibrary.org/obo/HP_0002014, http://www.ebi.ac.uk/efo/EFO_0005672, http://www.ebi.ac.uk/efo/EFO_0001645	GCST004967	Genome-wide genotyping array
